t,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,y
0.8092451,0.14633647,0.1883296,0.077313446,0.13564436,0.23748146,0.23849551,0.03335685,0.055040177,0.013538089,0.11687043,0.007864534,0.12084223,0.17259496,0.07365908,0.18022138,0.15724345,0.006216307,0.14836714,0.06884828,0.110466525,0.07535167,0.18430635,0.117086284,0.041681677,0.14516443,0.2075187,0.08138638,0.0589751,0.10293717,0.2490026,0.26010212,0.17869735,0.24003917,0.2251559,0.10060961,0.024504652,0.17374353,0.14853303,0.09654265,0.059866153,0.10824453,0.124648996,0.071628824,0.077454686,0.1216639,0.2292602,0.15579468,0.07531439,0.073943734,0.12056407,0.56290853
0.40306363,0.05188014,0.05098692,0.13033827,0.02162569,0.12250131,0.09187612,0.17940424,0.18933257,0.17517121,0.17455228,0.09466367,0.16908629,0.08612752,0.14515293,0.08273183,0.11291485,0.015452081,0.061010092,0.24641402,0.058502104,0.17548995,0.16490483,0.18357861,0.12044726,0.15162769,0.016456235,0.018295974,0.05039336,0.03821006,0.025264466,0.032725196,0.14014469,0.047597088,0.24168065,0.17299408,0.1373349,0.17932187,0.06675992,0.23596133,0.21288481,0.18439768,0.12171396,0.21398777,0.18879224,0.16740495,0.2321659,0.16057989,0.092738844,0.14024262,0.049338933,0.50402623
0.40675658,0.046559766,0.17666298,0.19113843,0.23676854,0.20715696,0.13240103,0.021820584,0.1189721,0.22586426,0.19160376,0.11803034,0.11023733,0.05302053,0.042674102,0.017872252,0.2174629,0.15577058,0.034306392,0.10075617,0.011955005,0.050888803,0.17786181,0.15850909,0.11658655,0.06702507,0.15868719,0.23280698,0.106054984,0.016766705,0.013935966,0.020087332,0.23360044,0.13160245,0.20408453,0.041416842,0.06342226,0.16845408,0.21853884,0.083270326,0.015736578,0.21062605,0.070715114,0.18077976,0.03831326,0.16915873,0.20519958,0.17695852,0.087371714,0.17699316,0.03348645,0.5225904
0.9024406,0.071660794,0.0959956,0.20084116,0.034785137,0.20144494,0.18296559,0.222349,0.084110156,0.046794686,0.054646052,0.18943039,0.2209935,0.15990852,0.110272706,0.06578318,0.19099554,0.19957817,0.02049458,0.049333684,0.19050682,0.1943709,0.07195779,0.063850306,0.09858619,0.123738945,0.021418482,0.1915119,0.12245333,0.17726381,0.05274032,0.22139513,0.17181142,0.078496635,0.21733361,0.1604833,0.19262691,0.010058111,0.012391667,0.17070027,0.06975821,0.11842745,0.035648353,0.22434196,0.114981085,0.18973123,0.016928792,0.109481804,0.014130747,0.20248844,0.101739906,0.54828936
0.42282215,0.020343188,0.022894755,0.16204873,0.022133287,0.05502122,0.13130021,0.14966455,0.17539674,0.18653621,0.111671016,0.18601666,0.04606775,0.08280508,0.24038763,0.04604404,0.06710806,0.07292638,0.14384158,5.069118e-05,0.009111871,0.13886261,0.048782706,0.20436977,0.23916169,0.1742708,0.2088791,0.117490105,0.013782713,0.1319029,0.11177229,0.17985983,0.040056117,0.06845306,0.24530147,0.07955674,0.123527706,0.28167167,0.082708925,0.043857858,0.21122915,0.1707605,0.18390734,0.01246717,0.1253601,0.0011602998,0.074230604,0.21226728,0.01834596,0.088653766,0.29712012,0.5271151
0.15115449,0.22328216,0.11077185,0.1692136,0.14537816,0.10697465,0.1971923,0.03963477,0.19049348,0.009543831,0.19927126,0.15539272,0.10196324,0.15439379,0.10568087,0.17975196,0.026001632,0.116765805,0.20042856,0.21332516,0.05069612,0.057874154,0.20787296,0.07939068,0.01304174,0.16475973,0.095051706,0.1690422,0.1097519,0.11492579,0.095944986,0.06684341,0.20707431,0.15374392,0.18157606,0.20617624,0.057568774,0.21163705,0.19881524,0.11685074,0.13064419,0.026458956,0.17525467,0.039790824,0.1226737,0.028993038,0.01674992,0.13995373,0.11293981,0.1552475,0.18172018,0.506984
0.6900703,0.23555878,0.020071158,0.15136142,0.13819341,0.15593578,0.13029991,0.13359818,0.2082441,0.10828651,0.12799385,0.16561098,0.020392958,0.10351789,0.023956094,0.033032864,0.0003777867,0.050155494,0.051424604,0.1237365,0.13680783,0.19776516,0.11664865,0.21378447,0.09469963,0.17893282,0.13237105,0.14951241,0.06479948,0.22472751,0.184495,0.034862824,0.12871376,0.23868953,0.011690676,0.07266161,0.17783459,0.009061715,0.17938022,0.13804899,0.17551233,0.13223243,0.22527541,0.08313392,0.13765709,0.012082121,0.13290854,0.100397676,0.2358438,0.22683935,0.03269487,0.5263393
0.47320843,0.010754344,0.031806536,0.050876845,0.19189785,0.1436852,0.14146797,0.122749485,0.0016733119,0.10363651,0.2640296,0.21676908,0.15094467,0.051880028,0.24358286,0.11230848,0.16382486,0.053549603,0.08625006,0.09110169,0.10441284,0.0056903744,0.17451628,0.044822805,0.15945828,0.16413765,0.18441227,0.07707616,0.077168025,0.19957589,0.10253026,0.040255398,0.23923668,0.0034401314,0.23457175,0.077311814,0.101022765,0.258799,0.115465164,0.19001073,0.10904521,0.24177617,0.19017796,0.1272554,0.022074655,0.0960533,0.12988645,0.07481379,0.14131883,0.055422455,0.13034904,0.5012856
0.12919317,0.11975363,0.15288027,0.16927291,0.16569713,0.096171334,0.10357231,0.1982909,0.08232006,0.1675142,0.22567971,0.20992655,0.12426108,0.06923259,0.1412605,0.15569314,0.119712375,0.07742767,0.10310176,0.018453976,0.06617545,0.03279325,0.15129395,0.21784812,0.035668425,0.006411213,0.16829516,0.080338694,0.114930734,0.013572555,0.0402628,0.15820359,0.13729218,0.19371071,0.21886612,0.081716634,0.14098786,0.10150859,0.11489477,0.08924775,0.22201565,0.14177021,0.032095727,0.15873085,0.2192651,0.20316875,0.12689942,0.0030720313,0.18296306,0.21168542,0.1664729,0.5088267
0.5589043,0.10928494,0.09712337,0.19003186,0.0270371,0.2001892,0.12733363,0.017850718,0.20999303,0.09984253,0.026699545,0.04427109,0.21921933,0.044025492,0.20022947,0.20561838,0.021969656,0.1109847,0.20080002,0.124992,0.22112042,0.096886344,0.16027974,0.05438255,0.21490337,0.21465012,0.14421311,0.08235186,0.0886801,0.15156007,0.032647803,0.13044873,0.07515915,0.08712011,0.08214423,0.21313696,0.04479186,0.060049832,0.04170301,0.0038484042,0.10863392,0.21560238,0.23037343,0.124544315,0.107400045,0.22150682,0.13506292,0.13986894,0.16570283,0.020297192,0.2138161,0.5408161
